tip,ruhlen_language,iso6393,glottocode,inventory_size,source,latitude,longitude,Language_type,n_tips_for_language,austronesian_score,span_score,eng_score,jap_score,unrelated_score,austronesian_score_present,span_score_present,eng_score_present,jap_score_present,unrelated_score_present,austronesian_score_absent,span_score_absent,eng_score_absent,jap_score_absent,unrelated_score_absent,span_score_D1,austronesian_score_span_D1,eng_score_D1,austronesian_score_eng_D1,jap_score_D1,austronesian_score_jap_D1,unrelated_score_D1,austronesian_score_unrelated_D1,n_present,n_absent,n_logp_floored
ManoboKalamansigCotabatoParil_D,Kalamansig,mta,cota1241,21,ruhlen,6.40155,124.29478,Philippine Language,1,0.8201488582489244,0.821416124028362,0.8198462164995559,0.8286683232273141,0.8261310156355788,0.7175150760884074,0.7198991307572781,0.7175062159043841,0.7335648489873914,0.7290705203640099,0.9374634374987483,0.9372485949580457,0.9367832693427259,0.9361015469433585,0.9361130863641537,0.7736263799165507,0.7726410982549016,0.8882898461086011,0.8894270683103106,0.7784770929227672,0.7709152592679974,0.8248229168175306,0.8188797408155152,21,63,0
ManoboSaranganiKayaponga_D,Sarangani Manobo,mbs,sara1327,20,ruhlen,6.03322,125.61158,Philippine Language,1,0.829606166480937,0.8299745622223397,0.8293044813210987,0.8321976947268279,0.8311877187770581,0.7703680802729961,0.7712869748765847,0.7703580917987034,0.7767262972263959,0.774738512468305,0.893399413977928,0.8931277155904132,0.8927613405519552,0.8916306884184008,0.8917499423704894,0.7015160242815203,0.7016014966707375,0.8882898461086011,0.8894270683103106,0.836366605973455,0.8373499255448449,0.8289029822571853,0.827363373843056,20,64,0
ManoboTigwaIglogsad_D,Tigwa,mbt,mati1250,19,ruhlen,7.70798,125.15548,Philippine Language,1,0.9572112793319066,0.9573624953380168,0.9573431828407548,0.9566946679893571,0.9578233337290992,0.9807401303446042,0.9807636549427039,0.9808081471211352,0.980951681529454,0.9807018955127847,0.9342469069337257,0.9345196907132315,0.9344395970015055,0.9330374828780845,0.9354785004838052,0.8367126362135582,0.8358183182844977,0.9729114150473682,0.9725034424914392,0.9774745995204911,0.9819139943650564,0.9562965162919095,0.9556549777251694,19,65,0
Maranao,Maranao,mrw,mara1404,20,ruhlen,7.81502,124.22438,Philippine Language,1,0.8728345484856024,0.8730759516979112,0.8741547007901697,0.8753760760460139,0.8760388779670376,0.8331943359114435,0.8341746949023991,0.837106163188333,0.8401055156860667,0.8422912280909527,0.9143606913706118,0.9137913462148359,0.912842927834988,0.9121274175755607,0.9111386775915417,0.7472045148631428,0.7485181306663184,0.907364399108198,0.9073684713305727,0.875886891949606,0.881172324947033,0.8741936005606444,0.8710716294828227,20,64,0
PalawanBatak,Batak,bya,bata1301,21,ruhlen,10.16456,119.08504,Philippine Language,1,0.8730231643160268,0.8736246079701435,0.8750976542009844,0.8790085764173227,0.8783661384446735,0.8091518928249619,0.8105369086472963,0.8138348905429024,0.8216195810554129,0.8208912052526448,0.9419361830464665,0.9416227040477694,0.9409720734352023,0.9404061140104419,0.93986519556968,0.8676982025599602,0.8680814161762618,0.9132304067118223,0.9112762993410727,0.8925338336341457,0.8901103955137304,0.8770736606484761,0.8717865187349949,21,63,0
Pangasinan,Pangasinan,pag,pang1290,19,ruhlen,15.96202,120.38515,Philippine Language,1,0.7131348988164489,0.7142538072045156,0.7146794518354226,0.7138569417079718,0.7178126231500638,0.5847632810235603,0.5868878274874488,0.5884542272671747,0.5901622549880569,0.5964229452540115,0.8696876161919215,0.8692606614286195,0.8679803716387915,0.8634773385074775,0.8639086843550808,0.6240882566669493,0.6237615658558809,0.8629464111484877,0.8623238457704784,0.775615762192427,0.7885786083688111,0.7153491603363514,0.7108021316849873,19,65,0
SaranganiBlaan,Sarangani Bilaan,bps,sara1326,23,ruhlen,6.06694,125.34999,Philippine Language,1,0.8261599152201454,0.8267508432295982,0.8286906383545263,0.8363264826028121,0.8321808503489794,0.7051313557150991,0.706345329755595,0.7100105684108234,0.7238613702533205,0.7167533535578218,0.967961784686726,0.967681002460026,0.9672083834378651,0.9662651085497446,0.9661970387023563,0.8892754701132736,0.8893648070304236,0.8301381411720318,0.8275839786441422,0.8057562198581872,0.7967832535594773,0.8315178731949839,0.8255406941396375,23,61,0
SubanonSiocon,Siocon Subanon,suc,west2557,20,ruhlen,7.73572,122.37053,Philippine Language,1,0.8992930913570909,0.899817112335336,0.9009345837192962,0.9031082558089392,0.9036092893000238,0.8457180905604927,0.8470291725220788,0.8494770200768946,0.854640020499631,0.8554661869494243,0.9562619898867424,0.9558948639757714,0.9555092191522591,0.9543252154672722,0.9544617428082715,0.9317650139744816,0.9322942242566612,0.8963221188287188,0.8950017638779502,0.9239422459218071,0.9249716019527838,0.9026533677675193,0.8983833631178119,20,64,0
SubanunSindangan,Sindangan,syb,cent2089,22,ruhlen,8.13155,123.09603,Philippine Language,1,0.7201753689784554,0.7200358738800358,0.7231663115959878,0.7237570560456251,0.7248820116555137,0.5598059877781715,0.5599167299913882,0.5649768271711229,0.5681366111639868,0.5692415854491817,0.9264862709699622,0.9259442197452482,0.9256477240772668,0.922004084726435,0.9230772035165262,0.893996855098801,0.8956708608169582,0.7970066043832974,0.7929590383997532,0.7485191505952511,0.7523446993406075,0.7234739445857076,0.7188438119326505,22,62,0
Tagalog,Tagalog,tgl,taga1270,20,ruhlen,14.21913,121.38616,Philippine Language,1,0.663308942499567,0.6626053649319008,0.6683466222404253,0.6574414646822344,0.6600623047293985,0.5305167689945952,0.5304694882597516,0.5399496865156803,0.5283814916372033,0.5321326201756943,0.8293399547647028,0.8276552739665824,0.8272756121828283,0.818025018522599,0.8187474881371416,0.6022251664697632,0.6058396579969523,0.6358280701123884,0.6320050815575923,0.5981204481531458,0.6298718335844672,0.6569118849029669,0.6603517260262056,20,64,0
TagbanwaKalamianCoronIsland_D,Kalamianen,tbk,cala1258,21,ruhlen,11.91139,119.99355,Philippine Language,1,0.7415422292892081,0.7422492389705176,0.7411517348425501,0.7405325268617263,0.7450946537888798,0.6016872087655373,0.6031145191212719,0.6018620649566123,0.6026243165284901,0.6098785101115812,0.9139048824843559,0.9134814621193575,0.9126773824825143,0.91000049002219,0.910289564069407,0.7875180852769186,0.7877305881801153,0.9194169323057922,0.9212516994500292,0.7830529807802595,0.7926879738618903,0.7434038074681164,0.7399327635342424,21,63,0
TausugJolo_D,Tausug,tsg,taus1251,21,ruhlen,5.95478,121.11477,Philippine Language,1,0.7642703657647073,0.7659132874483412,0.7639007841473928,0.7652349458761425,0.7701149153873708,0.6467199351541442,0.6497192744379386,0.6469317608083681,0.6477033707851314,0.6570614120159664,0.9031872379918185,0.9028871190521527,0.9020184869140425,0.9040936774502663,0.9026203214132529,0.6923320144644803,0.6913894677062089,0.8819104132136547,0.8838263022975014,0.7602262307056719,0.7566990340502768,0.7682036330904269,0.762385555656361,21,63,0
TboliTagabili,Tboli,tbl,tbol1240,22,ruhlen,6.17584,124.56778,Philippine Language,1,0.8692789361729427,0.8694339857087071,0.8720427413194474,0.8707333351475479,0.8725828304460297,0.8026936848800925,0.8030055229314166,0.8082701057097914,0.8056537988775219,0.8092449974357137,0.9413875842150701,0.9413577290798905,0.9408470476835605,0.9410699012323934,0.9408779768820136,0.8307089526597314,0.8305892220054685,0.8720054145898254,0.8691389196181597,0.8456306144887402,0.8441692740271937,0.871311014445886,0.8680238852810997,22,62,0
WBukidnonManobo,Western Bukidnon,mbb,west2555,23,ruhlen,7.68416,124.83378,Philippine Language,1,0.740545918117664,0.7403913878255138,0.7402781061165878,0.739983708443886,0.7409032997618638,0.5687751022863317,0.5686680650291485,0.5685625895437565,0.5689847674144792,0.5701000440107944,0.9641917422831481,0.9639707957542722,0.9638546124452446,0.9623735469239411,0.9628795951954433,0.9142340846075002,0.9151647529219337,0.9356279541195295,0.9364814085927717,0.969258476127845,0.9752980620913553,0.7402115002040041,0.7398800680513824,22,62,0
