"phoneme","ruhlen_ipa","ipa","class","modification_type","global_n_ruhlen","global_n_phoible","IDF_ruhlen","IDF_phoible","idf_shift","variance_shift_dir","in_ruhlen","in_phoible"
"phoneme_036","qᵡʰ","qᵡʰ","consonant","aspirated",2,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_039","ᵈtˢʰ","ᵈtˢʰ","consonant","aspirated",2,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_041","pˡʰ","pˡʰ","consonant","aspirated",5,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_044","ʰtˢ","ʰtˢ","consonant","aspirated",2,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_051","tˢʰ","tˢʰ","consonant","aspirated",110,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_064","tʃ̣ʰ","č̣ʰ","consonant","aspirated",4,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_066","pᶠʰ","pᶠʰ","consonant","aspirated",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_073","pˢ̌ʰ","pˢ̌ʰ","consonant","aspirated",2,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_090","ʈˢʰ","ṭˢʰ","consonant","aspirated",16,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_093","ʰtʃ","ʰč","consonant","aspirated",2,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_094","tᶿʰ","tᶿʰ","consonant","aspirated",3,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_095","tˡʰ","tˡʰ","consonant","aspirated",15,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_116","tᶲʰ","tᶲʰ","consonant","aspirated",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_291","sʰ","sʰ","consonant","aspirated",18,11,1,NA,NA,NA,TRUE,TRUE
"phoneme_302","ᵈʒʰ","ᵈžʰ","consonant","aspirated",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_353","fʰ","fʰ","consonant","aspirated",2,1,1,NA,NA,NA,TRUE,TRUE
"phoneme_368","ʃʰ","šʰ","consonant","aspirated",3,3,1,NA,NA,NA,TRUE,TRUE
"phoneme_369","xʰ","xʰ","consonant","aspirated",1,2,1,NA,NA,NA,TRUE,TRUE
"phoneme_389","vʰ","vʰ","consonant","aspirated",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_425","ɬʰ","ɬʰ","consonant","aspirated",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_554","ᴳqʰ","ᴳqʰ","consonant","aspirated",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_563","ᶢkʰ","ᶢkʰ","consonant","aspirated",2,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_578","qʰ","qʰ","consonant","aspirated",28,46,1,NA,NA,NA,TRUE,TRUE
"phoneme_606","ʰd","ʰd","consonant","aspirated",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_612","ᵇpʰ","ᵇpʰ","consonant","aspirated",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_613","ʰk","ʰk","consonant","aspirated",3,6,1,NA,NA,NA,TRUE,TRUE
"phoneme_621","ʰp","ʰp","consonant","aspirated",3,5,1,NA,NA,NA,TRUE,TRUE
"phoneme_624","ʰt","ʰt","consonant","aspirated",3,6,1,NA,NA,NA,TRUE,TRUE
"phoneme_656","ͫpʰ","ͫpʰ","consonant","aspirated",3,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_659","ᵈtʰ","ᵈtʰ","consonant","aspirated",2,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_669","t̯ʰ","t̯ʰ","consonant","aspirated",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_673","t̪ʰ","t̪ʰ","consonant","aspirated+dental",2,100,0.877220139853001,1,-0.122779860146999,"-",TRUE,TRUE
"phoneme_685","ˀt̪ʰ","ˀt̪ʰ","consonant","aspirated+dental+glottalized",2,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_637","ʔʰ","ʔʰ","consonant","aspirated+glottalized",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_007","tʃʰʷ","čʰʷ","consonant","aspirated+labialized",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_608","qʰʷ","qʰʷ","consonant","aspirated+labialized",3,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_635","kʰʷ","kʰʷ","consonant","aspirated+labialized",18,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_014","ⁿ̃tʃʰ","ⁿ̃čʰ","consonant","aspirated+nasalized+prenasalized",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_057","ⁿtˢʰ","ⁿtˢʰ","consonant","aspirated+prenasalized",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_586","ⁿtʰ","ⁿtʰ","consonant","aspirated+prenasalized",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_663","ᵑkʰ","ᵑkʰ","consonant","aspirated+prenasalized",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_040","tˡ̥ʰ","tˡ̥ʰ","consonant","aspirated+voiceless",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_029","ɡ̤̌","ɡ̤̌","consonant","breathy",36,NA,0.877220139853001,NA,NA,NA,TRUE,FALSE
"phoneme_106","d̤ᶻ","d̤ᶻ","consonant","breathy",7,NA,0.877220139853001,NA,NA,NA,TRUE,FALSE
"phoneme_289","v̤","v̤","consonant","breathy",2,4,1,NA,NA,NA,TRUE,TRUE
"phoneme_362","z̤","z̤","consonant","breathy",1,1,1,NA,NA,NA,TRUE,TRUE
"phoneme_407","w̤","w̤","consonant","breathy",1,5,1,NA,NA,NA,TRUE,TRUE
"phoneme_422","j̤","j̤","consonant","breathy",2,1,1,NA,NA,NA,TRUE,TRUE
"phoneme_434","l̤","l̤","consonant","breathy",10,16,0.877220139853001,NA,NA,NA,TRUE,TRUE
"phoneme_451","ɭ̤","ḷ̤","consonant","breathy",2,1,1,NA,NA,NA,TRUE,TRUE
"phoneme_533","n̤","n̤","consonant","breathy",10,9,1,NA,NA,NA,TRUE,TRUE
"phoneme_537","ɳ̤","ṇ̤","consonant","breathy",1,1,1,NA,NA,NA,TRUE,TRUE
"phoneme_546","m̤","m̤","consonant","breathy",10,20,1,NA,NA,NA,TRUE,TRUE
"phoneme_553","ɡ̤","ɡ̤","consonant","breathy",49,19,0.805398525823219,NA,NA,NA,TRUE,TRUE
