phoneme,n_languages,n_total,IDF_phoible,global_n_phoible
wʲ,0,88,NA,8
fʲ,0,88,NA,22
kx,0,88,NA,6
ʱm,0,88,NA,4
ʱɾ̪,0,88,NA,1
ʱn̪,0,88,NA,2
ʃʼ,0,88,NA,4
nˀ,0,88,NA,6
χʼ,0,88,NA,2
lˀ,0,88,NA,2
mˀ,0,88,NA,6
jˀ,0,88,NA,8
ʱn,0,88,NA,2
ʱw,0,88,NA,2
ɟː,0,88,NA,8
ɪ̞,0,88,NA,3
ʊ̞̈,0,88,NA,1
ɕː,0,88,NA,5
ʉ̞,0,88,NA,2
ɪ̞̈,0,88,NA,1
s̪̻,0,88,NA,1
˧˩,0,88,NA,8
t̪̻s̪̻,0,88,NA,1
eu̯,0,88,NA,4
t̺s̺,0,88,NA,4
oi̯,0,88,NA,7
ei̯,0,88,NA,7
ɲʄ,0,88,NA,1
ɗ̪,0,88,NA,4
ʡ,0,88,NA,2
ʜ,0,88,NA,4
ĩ̯,0,88,NA,3
ɔ̃ː,0,88,NA,27
pfʰ,0,88,NA,3
ɛ̃ː,0,88,NA,30
cçʼ,0,88,NA,5
æ̞̃,0,88,NA,14
ɗ̪|ɗ,0,88,NA,9
s̪ʼ|sʼ,0,88,NA,3
t̻,0,88,NA,9
t̻ʰ,0,88,NA,2
ə̠̃,0,88,NA,1
ɨ̞,0,88,NA,6
d̺,0,88,NA,9
s̻̠,0,88,NA,1
ʊ̈i,0,88,NA,1
ʊ̞,0,88,NA,1
ɐi,0,88,NA,4
n̪̤,0,88,NA,6
əˑ,0,88,NA,1
ɨˑ,0,88,NA,1
ãũ,0,88,NA,2
ãĩ,0,88,NA,2
rʰ,0,88,NA,2
ŋʰ,0,88,NA,1
ɟ̤,0,88,NA,8
oʊ,0,88,NA,2
aʊ,0,88,NA,4
uɪ,0,88,NA,2
aɪ,0,88,NA,7
aɔ,0,88,NA,1
eʊ,0,88,NA,1
eɔ,0,88,NA,2
iʊ,0,88,NA,1
oɪ,0,88,NA,1
eɪ,0,88,NA,4
oɛ,0,88,NA,1
eo,0,88,NA,3
ẽĩ,0,88,NA,1
ɑe,0,88,NA,1
ɑ̃ĩ,0,88,NA,1
ɑ̃õ,0,88,NA,1
ɑo,0,88,NA,1
õũ,0,88,NA,1
ĩõ,0,88,NA,1
ĩã,0,88,NA,1
ao,0,88,NA,6
ɵː,0,88,NA,11
tʲʰ,0,88,NA,9
ᶑʼ,0,88,NA,3
r̪,0,88,NA,20
z̪,0,88,NA,41
ɬ̪,0,88,NA,8
ø̞,0,88,NA,12
ɛo̞,0,88,NA,1
ao̞,0,88,NA,4
ɛ̃ɔ̃,0,88,NA,1
ɑ̃ɔ̃,0,88,NA,1
ɲɟʑ,0,88,NA,1
əu,0,88,NA,12
r̥,0,88,NA,24
j̊,0,88,NA,4
vʲ,0,88,NA,17
lˠ,0,88,NA,7
˧˨˧,0,88,NA,1
˦˧,0,88,NA,11
˧˦˧,0,88,NA,2
ʃʲ,0,88,NA,8
d̠ʒʲ,0,88,NA,5
