"language_id","language","latitude","longitude","glottocode","author","number_of_entries","source_url","number_of_loans","loans_norm"
"439","Manobo, Sarangani, Kayaponga Dialect",5.84903,125.499,"sara1327","C. DuBois in Reid (1971)",178,"https://abvd.eva.mpg.de/austronesian/language.php?id=439",1,0.0769230769230769
"440","Manobo, Tigwa, Iglogsad Dialect",7.72124,125.16,"mati1250","C. Strong in Reid (1971)",177,"https://abvd.eva.mpg.de/austronesian/language.php?id=440",0,0
"441, 144","Manobo, Western Bukidnon; Western Bukidnon Manobo",7.6682,124.825,"west2555","R.E.Elkins in Reid (1971); Lawrence A. Reid",207,"https://abvd.eva.mpg.de/austronesian/language.php?id=441; https://abvd.eva.mpg.de/austronesian/language.php?id=144",0,0
"442","Mansaka",6.79221,126.181,"mans1262","G. Svelmoe in Reid (1971)",205,"https://abvd.eva.mpg.de/austronesian/language.php?id=442",0,0
"491","Mapun",6.09061,118.75,"mapu1244","Mapun-English Dictionary (Collins et al 2001)",208,"https://abvd.eva.mpg.de/austronesian/language.php?id=491",0,0
"86","Maranao",7.79414,124.175,"mara1404","McKaughan & Macaraya (1967)",209,"https://abvd.eva.mpg.de/austronesian/language.php?id=86",0,0
"788, 1467, 277, 389, 408","Marinduque Tagalog; Mindoro Tagalog; Tagalog; Tagalog (Anthony dela Paz)",14.06,121.747,"taga1270","Rosa Soberano; Native Tagalog speaker; Ted Llamzon; My knowledge in Tagalog; Anthony dela Paz",210,"https://abvd.eva.mpg.de/austronesian/language.php?id=788; https://abvd.eva.mpg.de/austronesian/language.php?id=1467; https://abvd.eva.mpg.de/austronesian/language.php?id=277; https://abvd.eva.mpg.de/austronesian/language.php?id=389; https://abvd.eva.mpg.de/austronesian/language.php?id=408",6,0.461538461538462
"755","Masbatenyo",12.21453,123.63579,"masb1238","Elmer P. Wolfenden",209,"https://abvd.eva.mpg.de/austronesian/language.php?id=755",5,0.384615384615385
"405","Pangasinan",15.9377,120.365,"pang1290","Emerich Daroya",210,"https://abvd.eva.mpg.de/austronesian/language.php?id=405",9,0.692307692307692
"1275","Ratagnon",12.2785,121.187,"rata1245","Barbian (1977)",166,"https://abvd.eva.mpg.de/austronesian/language.php?id=1275",0,0
"687","Romblon",12.4047,122.56,"romb1245","Fe Aldave Yap",191,"https://abvd.eva.mpg.de/austronesian/language.php?id=687",4,0.307692307692308
"494","S.W. Palawano",8.67624,117.36,"sout2916","Bill Davis",210,"https://abvd.eva.mpg.de/austronesian/language.php?id=494",0,0
"733","Sama (Pangutaran)",6.27167,120.536,"pang1291","Charles Walton, Janice Walton",209,"https://abvd.eva.mpg.de/austronesian/language.php?id=733",0,0
"732","Sama (Sibutu)",4.75584,119.48389,"sout2918","K. J. Allison",171,"https://abvd.eva.mpg.de/austronesian/language.php?id=732",0,0
"783, 513","Samar-Leyte; Waray-Waray",11.4911,125.012,"wara1300","Alfonsa E. Tizon; Andras Rajki",209,"https://abvd.eva.mpg.de/austronesian/language.php?id=783; https://abvd.eva.mpg.de/austronesian/language.php?id=513",4,0.307692307692308
"1268","Sambal",15.5797,120.095,"tina1248","Stone (2008)",140,"https://abvd.eva.mpg.de/austronesian/language.php?id=1268",1,0.0769230769230769
"445","Sangil, Saragani Islands",5.40229,125.378,"sang1337","K. Maryott in Reid (1971)",178,"https://abvd.eva.mpg.de/austronesian/language.php?id=445",0,0
"686","Sinauna",14.6254,121.453,"remo1247","Fe Aldave Yap",173,"https://abvd.eva.mpg.de/austronesian/language.php?id=686",2,0.153846153846154
"448, 1638","Subanon, Siocon; Western Subanon",7.79964,122.341,"west2557","W. Hall in Reid (1971); Jernan Combi",210,"https://abvd.eva.mpg.de/austronesian/language.php?id=448; https://abvd.eva.mpg.de/austronesian/language.php?id=1638",2,0.153846153846154
"447","Subanun, Sindangan",8.12701,123.018,"cent2089","R. Brichoux in Reid (1971)",178,"https://abvd.eva.mpg.de/austronesian/language.php?id=447",0,0
"466, 1637","Surigaonon",9,126,"suri1273","Richard Parker; Catharine Elizabeth Laude",210,"https://abvd.eva.mpg.de/austronesian/language.php?id=466; https://abvd.eva.mpg.de/austronesian/language.php?id=1637",6,0.461538461538462
