phoneme_id,ipa,global_n,class
phoneme_565,dʲ,8,consonant
phoneme_566,ɡ^,2,consonant
phoneme_567,ɡb,165,consonant
phoneme_568,pʱ,1,consonant
phoneme_569,ɡd,1,consonant
phoneme_570,tˣˀ,2,consonant
phoneme_571,kp,172,consonant
phoneme_572,ⁿd,174,consonant
phoneme_573,kt,1,consonant
phoneme_574,ⁿḍ,7,consonant
phoneme_575,ɗ̤,1,consonant
phoneme_576,ᴺG,2,consonant
phoneme_577,ḍˀ,1,consonant
phoneme_578,qʰ,28,consonant
phoneme_579,d̤̣,36,consonant
phoneme_580,d̪,38,consonant
phoneme_581,ɡːʷ,1,consonant
phoneme_582,bˀ,2,consonant
phoneme_583,ʔʷ,3,consonant
phoneme_584,tː,3,consonant
phoneme_585,qˀʷ,33,consonant
phoneme_586,ⁿtʰ,1,consonant
phoneme_587,ⁿt,2,consonant
phoneme_588,pʰ,283,consonant
phoneme_589,ᵑɡ,164,consonant
phoneme_590,dˣ,1,consonant
phoneme_591,ⁿdʲ,3,consonant
phoneme_592,t̯,48,consonant
phoneme_593,ɓ,138,consonant
phoneme_594,d̰,1,consonant
phoneme_595,ˀb,42,consonant
phoneme_596,ɓ̤,1,consonant
phoneme_597,ɟ,205,consonant
phoneme_598,ˀd,22,consonant
phoneme_599,kˀ,225,consonant
phoneme_600,cˣ,7,consonant
phoneme_601,ɡʷ,61,consonant
phoneme_602,pˀkˣˀ,1,consonant
phoneme_603,bʷ,7,consonant
phoneme_604,ˀk,1,consonant
phoneme_605,qᶛ,1,consonant
phoneme_606,ʰd,1,consonant
phoneme_607,ɗ̣,20,consonant
phoneme_608,qʰʷ,3,consonant
phoneme_609,ͫb,171,consonant
phoneme_610,ᵑͫɡb,5,consonant
phoneme_611,ˀp,1,consonant
phoneme_612,ᵇpʰ,1,consonant
phoneme_613,ʰk,3,consonant
phoneme_614,t̪ᵚ,1,consonant
phoneme_615,ˀt,2,consonant
phoneme_616,tʲ,9,consonant
phoneme_617,cˀ,13,consonant
phoneme_618,tˀ,228,consonant
phoneme_619,ṭ,222,consonant
phoneme_620,ᵑkʷ,0,consonant
phoneme_621,ʰp,3,consonant
phoneme_622,d̤,49,consonant
phoneme_623,ḍ̰,1,consonant
phoneme_624,ʰt,3,consonant
phoneme_625,ͫp,2,consonant
phoneme_626,ͫbʷ,1,consonant
phoneme_627,ˀɟ,3,consonant
phoneme_628,b̰,1,consonant
phoneme_629,d̯,21,consonant
phoneme_630,ɠ,14,consonant
phoneme_631,kʰ,310,consonant
phoneme_632,b,1347,consonant
phoneme_633,c,305,consonant
phoneme_634,d,1310,consonant
phoneme_635,kʰʷ,18,consonant
phoneme_636,ⁿ̃ɟ,20,consonant
phoneme_637,ʔʰ,1,consonant
phoneme_638,ˀd̪,1,consonant
phoneme_639,k,2032,consonant
phoneme_640,tp,0,consonant
phoneme_641,ɠ̤,1,consonant
phoneme_642,tˣ,13,consonant
phoneme_643,b̤,47,consonant
phoneme_644,ḍ,161,consonant
phoneme_645,pʷ,5,consonant
phoneme_646,kː,2,consonant
phoneme_647,ṭˀ,14,consonant
phoneme_648,p,1843,consonant
phoneme_649,q,236,consonant
phoneme_650,ᵑk,4,consonant
phoneme_651,G,23,consonant
phoneme_652,t,2035,consonant
phoneme_653,ɡ,1225,consonant
phoneme_654,ɡbʷ,2,consonant
phoneme_655,kpʷ,2,consonant
phoneme_656,ͫpʰ,3,consonant
phoneme_657,Gʷ,2,consonant
phoneme_658,pˀ,154,consonant
phoneme_659,ᵈtʰ,2,consonant
phoneme_660,bd,1,consonant
phoneme_661,ɡˀ,1,consonant
phoneme_662,ɓʷ,2,consonant
phoneme_663,ᵑkʰ,1,consonant
phoneme_664,ḍː,1,consonant
phoneme_665,ṭʰ,75,consonant
phoneme_666,d̪̤,1,consonant
phoneme_667,ʔ˜,1,consonant
phoneme_668,ɡʲ,3,consonant
phoneme_669,t̯ʰ,1,consonant
phoneme_670,t̪ˀ,1,consonant
phoneme_671,kʲ,14,consonant
phoneme_672,cː,2,consonant
phoneme_673,t̪ʰ,2,consonant
phoneme_674,bᵚ,1,consonant
phoneme_675,tʱ,1,consonant
phoneme_676,cʰ,34,consonant
phoneme_677,ʔʲ,1,consonant
phoneme_678,ⁿd̪,1,consonant
phoneme_679,ᵑɡʷ,6,consonant
phoneme_680,ɡ̤ʷ,0,consonant
phoneme_681,qˀ,101,consonant
phoneme_682,ɡː,1,consonant
phoneme_683,kˣˀ,2,consonant
phoneme_684,ˀɗ̣,1,consonant
phoneme_685,ˀt̪ʰ,2,consonant
phoneme_686,t̪ʷ,1,consonant
phoneme_687,kᵚ,1,consonant
phoneme_688,ɗ,106,consonant
phoneme_689,kˀʲ,1,consonant
phoneme_690,ɡ̰,1,consonant
phoneme_691,kˀʷ,55,consonant
phoneme_692,pt,1,consonant
phoneme_693,qʷ,45,consonant
phoneme_694,bɗ,0,consonant
phoneme_695,ⁿ̯d̯,1,consonant
phoneme_696,ⁿɾ,1,consonant
phoneme_697,ř,3,consonant
phoneme_698,ṛ,57,consonant
phoneme_699,ɾ̌,1,consonant
phoneme_700,v̊,14,consonant
phoneme_701,rˀ,1,consonant
phoneme_702,B,6,consonant
phoneme_703,ɾ̣,77,consonant
phoneme_704,r,1077,consonant
phoneme_705,ɾ˜,3,consonant
phoneme_706,ɹ,22,consonant
phoneme_707,ɹ̥,1,consonant
phoneme_708,ɹ́,1,consonant
phoneme_709,r̤,7,consonant
phoneme_710,ˀr,9,consonant
phoneme_711,ɾ,465,consonant
phoneme_712,rᵚ,2,consonant
phoneme_713,P,2,consonant
phoneme_714,ɾ̤,2,consonant
phoneme_715,R,1,consonant
phoneme_716,ʁ,8,consonant
phoneme_717,ṛʷ,1,consonant
phoneme_718,ɹ̣,98,consonant
phoneme_719,bɹ,1,consonant
phoneme_720,ɹ̣̥,1,consonant
phoneme_721,r̪,3,consonant
phoneme_722,r̥,27,consonant
phoneme_723,rʲ,4,consonant
phoneme_724,rᶻ̌,3,consonant
phoneme_725,ɾ̥,7,consonant
phoneme_726,ṛ̥,2,consonant
phoneme_727,ɾ̣̤,6,consonant
phoneme_728,ˀɾ,4,consonant
