ID	Concept	Language	IPA
461	mountain	BONGGI	
462	name	BONGGI	eŋardn
463	new	BONGGI	baru
464	night	BONGGI	raobi
465	nose	BONGGI	iduŋ
466	one	BONGGI	isa
467	path	BONGGI	
468	person	BONGGI	lama
469	see	BONGGI	
470	skin	BONGGI	kubal
471	star	BONGGI	bitudn
472	stone	BONGGI	batu
473	sun	BONGGI	
474	tongue	BONGGI	dila
475	tooth	BONGGI	kuhud
476	tree	BONGGI	
477	two	BONGGI	dua
478	water	BONGGI	beig
479	we	BONGGI	sesia
480	you	BONGGI	
481	I	BONTOC GUINAANG	sakʔən
482	blood	BONTOC GUINAANG	dala
483	bone	BONTOC GUINAANG	toŋʔal
484	breast	BONTOC GUINAANG	soso
485	come	BONTOC GUINAANG	
486	die	BONTOC GUINAANG	
487	dog	BONTOC GUINAANG	aso
488	drink	BONTOC GUINAANG	inom
489	ear	BONTOC GUINAANG	koləŋ
490	eye	BONTOC GUINAANG	mata
491	fire	BONTOC GUINAANG	apoj
492	fish	BONTOC GUINAANG	gadəw
493	full	BONTOC GUINAANG	napno
494	hand	BONTOC GUINAANG	lima
495	hear	BONTOC GUINAANG	dəŋəl
496	horn	BONTOC GUINAANG	
497	knee	BONTOC GUINAANG	powəg
498	leaf	BONTOC GUINAANG	tobo
499	liver	BONTOC GUINAANG	agtəj
500	louse	BONTOC GUINAANG	koto
501	mountain	BONTOC GUINAANG	bilig
502	name	BONTOC GUINAANG	ŋadan
503	new	BONTOC GUINAANG	balo
504	night	BONTOC GUINAANG	labi
505	nose	BONTOC GUINAANG	əŋəl
506	one	BONTOC GUINAANG	əsa
507	path	BONTOC GUINAANG	dalan
508	person	BONTOC GUINAANG	ipogaw
509	see	BONTOC GUINAANG	ila
510	skin	BONTOC GUINAANG	kopkop
511	star	BONTOC GUINAANG	talaw
512	stone	BONTOC GUINAANG	bato
513	sun	BONTOC GUINAANG	
514	tongue	BONTOC GUINAANG	dila
515	tooth	BONTOC GUINAANG	babʔa
516	tree	BONTOC GUINAANG	kaʔəw
517	two	BONTOC GUINAANG	dowa
518	water	BONTOC GUINAANG	danom
519	we	BONTOC GUINAANG	datako
520	you	BONTOC GUINAANG	sikʔa
521	I	BROOKES POINT PALAWAN	aku
522	blood	BROOKES POINT PALAWAN	duguʔ
523	bone	BROOKES POINT PALAWAN	tulaŋ
524	breast	BROOKES POINT PALAWAN	
525	come	BROOKES POINT PALAWAN	
526	die	BROOKES POINT PALAWAN	patəj
527	dog	BROOKES POINT PALAWAN	idəŋ
528	drink	BROOKES POINT PALAWAN	minum
529	ear	BROOKES POINT PALAWAN	təliŋa
530	eye	BROOKES POINT PALAWAN	mata
531	fire	BROOKES POINT PALAWAN	apuj
532	fish	BROOKES POINT PALAWAN	səraʔ
533	full	BROOKES POINT PALAWAN	
534	hand	BROOKES POINT PALAWAN	lima
535	hear	BROOKES POINT PALAWAN	kiŋeg
536	horn	BROOKES POINT PALAWAN	
537	knee	BROOKES POINT PALAWAN	
538	leaf	BROOKES POINT PALAWAN	dəʔun
539	liver	BROOKES POINT PALAWAN	atəj
540	louse	BROOKES POINT PALAWAN	kutu
541	mountain	BROOKES POINT PALAWAN	bukid
542	name	BROOKES POINT PALAWAN	ŋaran
543	new	BROOKES POINT PALAWAN	bagu
544	night	BROOKES POINT PALAWAN	gebi
545	nose	BROOKES POINT PALAWAN	əruŋ
546	one	BROOKES POINT PALAWAN	
547	path	BROOKES POINT PALAWAN	dalan
548	person	BROOKES POINT PALAWAN	tau
549	see	BROOKES POINT PALAWAN	
550	skin	BROOKES POINT PALAWAN	kubal
551	star	BROOKES POINT PALAWAN	bituən
552	stone	BROOKES POINT PALAWAN	batu
553	sun	BROOKES POINT PALAWAN	əldəw
554	tongue	BROOKES POINT PALAWAN	dilaʔ
555	tooth	BROOKES POINT PALAWAN	nipən
556	tree	BROOKES POINT PALAWAN	kaju
557	two	BROOKES POINT PALAWAN	dua
558	water	BROOKES POINT PALAWAN	danum
559	we	BROOKES POINT PALAWAN	kami
560	you	BROOKES POINT PALAWAN	kə
561	I	BUHI	ʔaku
562	blood	BUHI	ruguʔ
563	bone	BUHI	tuʔwaŋ
564	breast	BUHI	susu
565	come	BUHI	ʔabut
566	die	BUHI	giraʔan
567	dog	BUHI	ʔajam
568	drink	BUHI	ʔinum
569	ear	BUHI	taliŋa
570	eye	BUHI	mata
571	fire	BUHI	kalaju
572	fish	BUHI	ʔisraʔ
573	full	BUHI	punuʔ
574	hand	BUHI	kamit
575	hear	BUHI	riŋig
576	horn	BUHI	suŋij
577	knee	BUHI	tuwud
578	leaf	BUHI	dawun
579	liver	BUHI	ʔataj
580	louse	BUHI	kutu
581	mountain	BUHI	bukid
582	name	BUHI	ŋaran
583	new	BUHI	bagʔu
584	night	BUHI	gaʔbi
585	nose	BUHI	ʔuruŋ
586	one	BUHI	ʔisad
587	path	BUHI	dagan
588	person	BUHI	taʔu
589	see	BUHI	kita
590	skin	BUHI	kublit
591	star	BUHI	bitiʔwin
592	stone	BUHI	batu
593	sun	BUHI	ʔaldaw
594	tongue	BUHI	dilaʔ
595	tooth	BUHI	ŋipin
596	tree	BUHI	kawuj
597	two	BUHI	duwa
598	water	BUHI	tubig
599	we	BUHI	kita
600	you	BUHI	kamu
601	I	BUHINON ALBAY BICOLANO	ako
602	blood	BUHINON ALBAY BICOLANO	rogoʔ
603	bone	BUHINON ALBAY BICOLANO	toʔwaŋ
604	breast	BUHINON ALBAY BICOLANO	soso
605	come	BUHINON ALBAY BICOLANO	
606	die	BUHINON ALBAY BICOLANO	gəraʔan
607	dog	BUHINON ALBAY BICOLANO	ajam
608	drink	BUHINON ALBAY BICOLANO	inom
609	ear	BUHINON ALBAY BICOLANO	taliŋa
610	eye	BUHINON ALBAY BICOLANO	mata
611	fire	BUHINON ALBAY BICOLANO	kalajo
612	fish	BUHINON ALBAY BICOLANO	israʔ
613	full	BUHINON ALBAY BICOLANO	
614	hand	BUHINON ALBAY BICOLANO	kamət
615	hear	BUHINON ALBAY BICOLANO	rəŋəg
616	horn	BUHINON ALBAY BICOLANO	
617	knee	BUHINON ALBAY BICOLANO	
618	leaf	BUHINON ALBAY BICOLANO	dawon
619	liver	BUHINON ALBAY BICOLANO	ataj
620	louse	BUHINON ALBAY BICOLANO	koto
621	mountain	BUHINON ALBAY BICOLANO	
622	name	BUHINON ALBAY BICOLANO	ŋaran
623	new	BUHINON ALBAY BICOLANO	bago
624	night	BUHINON ALBAY BICOLANO	gaʔbi
625	nose	BUHINON ALBAY BICOLANO	oroŋ
626	one	BUHINON ALBAY BICOLANO	əsad
627	path	BUHINON ALBAY BICOLANO	tinampo
628	person	BUHINON ALBAY BICOLANO	tawo
629	see	BUHINON ALBAY BICOLANO	səxəŋ
630	skin	BUHINON ALBAY BICOLANO	kolit
631	star	BUHINON ALBAY BICOLANO	bitoʔon
632	stone	BUHINON ALBAY BICOLANO	bato
633	sun	BUHINON ALBAY BICOLANO	
634	tongue	BUHINON ALBAY BICOLANO	riraʔ
635	tooth	BUHINON ALBAY BICOLANO	ŋipən
636	tree	BUHINON ALBAY BICOLANO	
637	two	BUHINON ALBAY BICOLANO	dowa
638	water	BUHINON ALBAY BICOLANO	tobig
639	we	BUHINON ALBAY BICOLANO	kita
640	you	BUHINON ALBAY BICOLANO	ika
641	I	BUKIDNON BINUKID	janʔa
642	blood	BUKIDNON BINUKID	laŋəsa
643	bone	BUKIDNON BINUKID	tulʔan
644	breast	BUKIDNON BINUKID	
645	come	BUKIDNON BINUKID	dini
646	die	BUKIDNON BINUKID	minataj
647	dog	BUKIDNON BINUKID	asu
648	drink	BUKIDNON BINUKID	inum
649	ear	BUKIDNON BINUKID	taliŋa
650	eye	BUKIDNON BINUKID	mata
651	fire	BUKIDNON BINUKID	hapuj
652	fish	BUKIDNON BINUKID	isdaʔ
653	full	BUKIDNON BINUKID	napunuʔ
654	hand	BUKIDNON BINUKID	alima
655	hear	BUKIDNON BINUKID	paliman
656	horn	BUKIDNON BINUKID	suŋaj
657	knee	BUKIDNON BINUKID	buʔol
658	leaf	BUKIDNON BINUKID	dahon
659	liver	BUKIDNON BINUKID	ataj
660	louse	BUKIDNON BINUKID	lisaʔ
661	mountain	BUKIDNON BINUKID	buntod
662	name	BUKIDNON BINUKID	ŋaran
663	new	BUKIDNON BINUKID	bagʔu
664	night	BUKIDNON BINUKID	daluman
665	nose	BUKIDNON BINUKID	iduŋ
666	one	BUKIDNON BINUKID	sabuwa
667	path	BUKIDNON BINUKID	dalan
668	person	BUKIDNON BINUKID	ətaw
669	see	BUKIDNON BINUKID	ahaʔ
670	skin	BUKIDNON BINUKID	laŋgit
671	star	BUKIDNON BINUKID	bituon
672	stone	BUKIDNON BINUKID	batu
673	sun	BUKIDNON BINUKID	aldaw
674	tongue	BUKIDNON BINUKID	dilaʔ
675	tooth	BUKIDNON BINUKID	ŋipun
676	tree	BUKIDNON BINUKID	kaju
677	two	BUKIDNON BINUKID	daruwa
