ID	Concept	Language	form
1282	we	BONTOC GUINAANG	datako
1288	you	BONTOC GUINAANG	sikʔa
1289	I	BUHI	ʔaku
1296	blood	BUHI	ruguʔ
1297	bone	BUHI	tuʔwaŋ
1298	breast	BUHI	susu
1302	come	BUHI	ʔabut
1303	die	BUHI	giraʔan
1304	dog	BUHI	ʔajam
1305	drink	BUHI	ʔinum
1307	ear	BUHI	taliŋa
1311	eye	BUHI	mata
1313	fire	BUHI	kalaju
1314	fish	BUHI	ʔisraʔ
1318	full	BUHI	punuʔ
1323	hand	BUHI	kamit
1325	hear	BUHI	riŋig
1326	horn	BUHI	suŋij
1329	knee	BUHI	tuwud
1331	leaf	BUHI	dawun
1333	liver	BUHI	ʔataj
1335	louse	BUHI	kutu
1338	mountain	BUHI	bukid
1340	name	BUHI	ŋaran
1342	new	BUHI	bagʔu
1343	night	BUHI	gaʔbi
1344	nose	BUHI	ʔuruŋ
1346	one	BUHI	ʔisad
1347	path	BUHI	dagan
1348	person	BUHI	taʔu
1354	see	BUHI	kita
1356	skin	BUHI	kublit
1361	star	BUHI	bitiʔwin
1362	stone	BUHI	batu
1363	sun	BUHI	ʔaldaw
1368	tongue	BUHI	dilaʔ
1369	tooth	BUHI	ŋipin
1370	tree	BUHI	kawuj
1371	two	BUHI	duwa
1373	water	BUHI	tubig
1374	we	BUHI	kita
1380	you	BUHI	kamu
1381	I	BUKIDNON BINUKID	janʔa
1382	all	BUKIDNON BINUKID	alan
1383	ash	BUKIDNON BINUKID	abu
1384	big	BUKIDNON BINUKID	aragi
1385	bird	BUKIDNON BINUKID	tagbis
1386	bite	BUKIDNON BINUKID	kagat
1387	black	BUKIDNON BINUKID	maitum
1388	blood	BUKIDNON BINUKID	laŋəsa
1389	bone	BUKIDNON BINUKID	tulʔan
1391	burn	BUKIDNON BINUKID	sunog
1392	cloud	BUKIDNON BINUKID	gabon
1393	cold	BUKIDNON BINUKID	matinuʔ
1394	come	BUKIDNON BINUKID	dini
1395	die	BUKIDNON BINUKID	minataj
1396	dog	BUKIDNON BINUKID	asu
1397	drink	BUKIDNON BINUKID	inum
1398	dry	BUKIDNON BINUKID	mamara
1399	ear	BUKIDNON BINUKID	taliŋa
1400	earth	BUKIDNON BINUKID	bugtaʔ
1401	eat	BUKIDNON BINUKID	kaʔon
1402	egg	BUKIDNON BINUKID	impis
1403	eye	BUKIDNON BINUKID	mata
1404	feather	BUKIDNON BINUKID	bulbul
1405	fire	BUKIDNON BINUKID	hapuj
1406	fish	BUKIDNON BINUKID	isdaʔ
1407	flesh	BUKIDNON BINUKID	sapuʔ
1408	fly	BUKIDNON BINUKID	lajaŋ
1409	foot	BUKIDNON BINUKID	paʔa
1410	full	BUKIDNON BINUKID	napunuʔ
1411	good	BUKIDNON BINUKID	maajad
1412	grease	BUKIDNON BINUKID	grasa
1413	green	BUKIDNON BINUKID	mahilaw
1414	hair	BUKIDNON BINUKID	buhok
1415	hand	BUKIDNON BINUKID	alima
1416	head	BUKIDNON BINUKID	ulo
1417	hear	BUKIDNON BINUKID	paliman
1418	horn	BUKIDNON BINUKID	suŋaj
1419	hot	BUKIDNON BINUKID	mainit
1420	kill	BUKIDNON BINUKID	himataji
1421	knee	BUKIDNON BINUKID	buʔol
1422	know	BUKIDNON BINUKID	katuon
1423	leaf	BUKIDNON BINUKID	dahon
1424	lie	BUKIDNON BINUKID	biduʔ
1425	liver	BUKIDNON BINUKID	ataj
1426	long	BUKIDNON BINUKID	mataŋkaw
1427	louse	BUKIDNON BINUKID	lisaʔ
1428	man	BUKIDNON BINUKID	maʔama
1429	moon	BUKIDNON BINUKID	bulan
1430	mountain	BUKIDNON BINUKID	buntod
1431	mouth	BUKIDNON BINUKID	baʔbaʔ
1432	name	BUKIDNON BINUKID	ŋaran
1433	neck	BUKIDNON BINUKID	liʔug
1434	new	BUKIDNON BINUKID	bagʔu
1435	night	BUKIDNON BINUKID	daluman
1436	nose	BUKIDNON BINUKID	iduŋ
1437	not	BUKIDNON BINUKID	hariʔ
1438	one	BUKIDNON BINUKID	sabuwa
1439	path	BUKIDNON BINUKID	dalan
1440	person	BUKIDNON BINUKID	ətaw
1441	rain	BUKIDNON BINUKID	uran
1442	red	BUKIDNON BINUKID	maligaʔ
1443	root	BUKIDNON BINUKID	gamut
1444	sand	BUKIDNON BINUKID	grabas
1445	say	BUKIDNON BINUKID	ikagi
1446	see	BUKIDNON BINUKID	ahaʔ
1447	sit	BUKIDNON BINUKID	pinuʔu
1448	skin	BUKIDNON BINUKID	laŋgit
1449	sleep	BUKIDNON BINUKID	tiruga
1450	small	BUKIDNON BINUKID	aCuʔaj
1451	smoke	BUKIDNON BINUKID	ubul
1452	stand	BUKIDNON BINUKID	hitindəg
1453	star	BUKIDNON BINUKID	bituon
1454	stone	BUKIDNON BINUKID	batu
1455	sun	BUKIDNON BINUKID	aldaw
1456	swim	BUKIDNON BINUKID	sulip
1457	tail	BUKIDNON BINUKID	ikug
1458	that	BUKIDNON BINUKID	hajan
1459	this	BUKIDNON BINUKID	ijan
1460	tongue	BUKIDNON BINUKID	dilaʔ
1461	tooth	BUKIDNON BINUKID	ŋipun
1462	tree	BUKIDNON BINUKID	kaju
1463	two	BUKIDNON BINUKID	daruwa
1464	walk	BUKIDNON BINUKID	hipanaw
1465	water	BUKIDNON BINUKID	wahig
1466	we	BUKIDNON BINUKID	jaŋkuj
1467	what	BUKIDNON BINUKID	inu
1468	white	BUKIDNON BINUKID	maputi
1469	who	BUKIDNON BINUKID	sinʔu
1470	woman	BUKIDNON BINUKID	bahi
1471	yellow	BUKIDNON BINUKID	makalawag
1472	you	BUKIDNON BINUKID	jaŋka
1473	I	BUTUANON	ako
1480	blood	BUTUANON	dugo
1481	bone	BUTUANON	bukog
1482	breast	BUTUANON	dughan
1486	come	BUTUANON	kansani
1487	die	BUTUANON	pataj
1488	dog	BUTUANON	gadja
1489	drink	BUTUANON	moinum
1491	ear	BUTUANON	taliŋa
1495	eye	BUTUANON	mata
1497	fire	BUTUANON	kajo
1498	fish	BUTUANON	isda
1507	hand	BUTUANON	alima
1509	hear	BUTUANON	moduŋog
1515	leaf	BUTUANON	dahon
1517	liver	BUTUANON	ataj
1519	louse	BUTUANON	kujamad
1524	name	BUTUANON	ŋan
1526	new	BUTUANON	bago
1527	night	BUTUANON	dum
1528	nose	BUTUANON	iloŋ
1530	one	BUTUANON	isa
1531	path	BUTUANON	dan
1532	person	BUTUANON	tao
1538	see	BUTUANON	makita
1540	skin	BUTUANON	panit
1545	star	BUTUANON	bituon
1546	stone	BUTUANON	bato
1552	tongue	BUTUANON	dila
1553	tooth	BUTUANON	ŋipon
1555	two	BUTUANON	duwa
1557	water	BUTUANON	tubig
1558	we	BUTUANON	kita
1564	you	BUTUANON	ikaw
1565	I	CAIJIA	ŋuo
1572	blood	CAIJIA	tʃr
1573	bone	CAIJIA	kuituo
1574	breast	CAIJIA	mi
1578	come	CAIJIA	xu
1579	die	CAIJIA	sr
1580	dog	CAIJIA	khui
1581	drink	CAIJIA	an
1583	ear	CAIJIA	nikha
1587	eye	CAIJIA	nicr
1589	fire	CAIJIA	fai
1590	fish	CAIJIA	xuŋ
1594	full	CAIJIA	pəu
1599	hand	CAIJIA	suo
1601	hear	CAIJIA	thi
1602	horn	CAIJIA	ko
1609	liver	CAIJIA	sanka
1611	louse	CAIJIA	sei
1614	mountain	CAIJIA	tipəu
1616	name	CAIJIA	mi
1618	new	CAIJIA	Sin
1619	night	CAIJIA	sa
1620	nose	CAIJIA	bikei
1622	one	CAIJIA	ji
1623	path	CAIJIA	ho
1624	person	CAIJIA	xuotʃuo
1630	see	CAIJIA	kien
1632	skin	CAIJIA	pəu
1637	star	CAIJIA	Sisu
1638	stone	CAIJIA	ca
1639	sun	CAIJIA	ien
1644	tongue	CAIJIA	crta
1645	tooth	CAIJIA	tʃeipei
1646	tree	CAIJIA	so
1647	two	CAIJIA	ta
1649	water	CAIJIA	sr
