ID	CONCEPT	DOCULECT	FORM	TOKENS
5043	bone	TAUSUG	bukug	b u k u g
5083	bone	TAUT BATU	tuʔlaŋ	t u ʔ l a ŋ
5123	bone	TBOLI TAGABILI	tiʔol	t i ʔ o l
5163	bone	TIMUGON MURUT	tulaŋ	t u l a ŋ
5203	bone	TIRURAY	bukal	b u k a l
5243	bone	TURKISH	kemik	k e m i k
5283	bone	UGARITIC	X8Xm	x x m
5323	bone	WARAY WARAY	tulan	t u l a n
5363	bone	YAKAN	tolaŋ	t o l a ŋ
5403	bone	YOGAD	tulaŋ	t u l a ŋ
5443	bone	ZAMBOANGUENO	weso	w e s o
5483	bone	IMOROD	totowaŋ	t o t o w a ŋ
5523	bone	BABUYAN	tohaŋ	t o h a ŋ
5563	bone	BISAYA SABAH	panah	p a n a h
5603	bone	FINALLIG	ikor	i k o r
5643	bone	HILIGAYNON	tulan	t u l a n
5683	bone	INABAKNON	taʔulaŋ	t a ʔ u l a ŋ
5723	bone	IRARALAY IVATAN	totowaŋ	t o t o w a ŋ
5763	bone	ISAMORONG IVATAN	tohaŋ	t o h a ŋ
5803	bone	IVASAY IVATAN	tohaŋ	t o h a ŋ
5843	bone	KANKANAEY	toŋa	t o ŋ a
5883	bone	LIMOS KALINGA	duli	d u l i
5923	bone	MANDAYAN BOSO	pəsaʔ	p ə s a ʔ
5963	bone	MANDAYAN CARAGA	pusaʔ	p u s a ʔ
6003	bone	MANDAYAN ISLAM PISO	pusaʔ	p u s a ʔ
6043	bone	MANSAKA 2	pəsaʔ	p ə s a ʔ
6083	bone	PROTO SOUTHERN MINDANAO	tulan	t u l a n
6123	bone	SINAUNA	butʔi	b u t ʔ i
6163	bone	SOUTHERN KALINGA	Culi	c u l i
4	breast	AGTA	susu	s u s u
44	breast	AKLANON	susu	s u s u
84	breast	ATTA PAMPLONA	gataʔ	g a t a ʔ
124	breast	BALANGAW	soso	s o s o
164	breast	BALANGINGI SAMA	duduʔ	d u d u ʔ
204	breast	BALANGINGI SAMA (1)	duduʔ	d u d u ʔ
244	breast	BASQUE	diti	d i t i
284	breast	BATAK PALAWAN	dudu	d u d u
324	breast	BILAAN KORONADAL	tutuʔ	t u t u ʔ
364	breast	BILAAN SARANGANI	tutuʔ	t u t u ʔ
404	breast	BINUKID	susu	s u s u
444	breast	BONGGI	dudu	d u d u
484	breast	BONTOC GUINAANG	soso	s o s o
564	breast	BUHI	susu	s u s u
604	breast	BUHINON ALBAY BICOLANO	soso	s o s o
684	breast	BUTUANON	dughan	d u gh a n
724	breast	CAIJIA	mi	m i
