language,similiarity_to_spanish,similiarity_to_english,similiarity_to_japanese,Unrelated_Mean,Unrelated_Std_dev,Unrelated_Distribution,zscore_span,zscore_eng,zscore_jap,longitude,latitude
KALLAHAN KELEYQIQ IFUGAO,2.777777778,2.777777778,6.060606061,3.076923077,2.91437639,,0,0,1.023780934,121,16.67
KANKANAY NORTHERN,2.777777778,2.777777778,6.060606061,3.461538462,3.613986364,,0,0,0.719169177,120.83,17.3
KAPAMPANGAN,5.882352941,0,6.451612903,2.115384615,1.721843079,,2.18775356,0,2.518364385,120.5,15.33
KINARAY A,0,0,10.71428571,2.115384615,2.246792586,,0,0,3.827189547,122.33,10.83
LEGAZPI,0,5,8.108108108,4.423076923,3.252218178,,0,0.177393719,1.133082402,123.5,13.33
LIBON,2.5,2.5,8.108108108,3.269230769,3.288967572,,0,0,1.471245074,123.5,13.17
MAGUINDANAO,3.03030303,3.03030303,3.333333333,2.115384615,1.721843079,,0.531359928,0.531359928,0.707351751,124.5,6.83
MAMANWA,2.777777778,2.777777778,3.03030303,4.038461538,3.15212586,,0,0,0,125.5,9.42
MANOBO ATA,2.777777778,2.777777778,6.060606061,3.076923077,3.558125407,,0,0,0.838554756,125.5,7.67
MANOBO DIBABAWON,5.555555556,0,6.060606061,4.615384615,3.36126121,,0.279707789,0,0.429964039,126,7.83
MANOBO ILIANEN,2.777777778,2.777777778,6.060606061,3.653846154,3.90184046,,0,0,0.616826836,124.83,7.33
MANOBO KALAMANSIG COTABATO,2.777777778,2.777777778,6.060606061,3.846153846,3.90184046,,0,0,0.567540431,6.08,124.83
MANOBO SARANGANI,2.777777778,2.777777778,6.060606061,4.038461538,3.755338081,,0,0,0.538472031,125.42,5.83
MANOBO TIGWA,5.555555556,0,6.060606061,2.692307692,3.744654309,,0.764622747,0,0.899495144,125.08,7.67
