ID	CONCEPT	DOCULECT	FORM	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGNATES
2124	breast	ITBAYATEN BATANES ISLANDS	rahdah	r a h d a h	5 7 3 1 7 3	AXMBYN	RAHTAH	62	62.R.C 62.A.V 62.H.c 62.T.C 62.A.V 62.H.c	2.0 1.5 1.1 1.75 1.3 0.8	rahdah	0	489
2164	breast	ITNEG BINONGAN	soso	s o s o	3 7 3 7	AXBZ	SUSU	63	63.S.C 63.U.V 63.S.C 63.U.V	2.0 1.5 1.75 0.8	soso	0	471
2204	breast	IVATAN BATANES ISLANDS	sosoʔ	s o s o ʔ	3 7 3 7 1	AXBYN	SUSUH	65	65.S.C 65.U.V 65.S.C 65.U.V 65.H.c	2.0 1.5 1.75 1.3 0.8	sosoʔ	0	471
2244	breast	JAPANESE	mune	m u n e	4 7 4 7	AXBZ	MYNE	66	66.M.C 66.Y.V 66.N.C 66.E.V	2.0 1.5 1.75 0.8	mune	0	493
2284	breast	KADAZAN	susu	s u s u	3 7 3 7	AXBZ	SYSY	67	67.S.C 67.Y.V 67.S.C 67.Y.V	2.0 1.5 1.75 0.8	susu	0	471
2324	breast	KAGAYANEN	susu	s u s u	3 7 3 7	AXBZ	SYSY	68	68.S.C 68.Y.V 68.S.C 68.Y.V	2.0 1.5 1.75 0.8	susu	0	471
2364	breast	KALAGAN	susu	s u s u	3 7 3 7	AXBZ	SYSY	69	69.S.C 69.Y.V 69.S.C 69.Y.V	2.0 1.5 1.75 0.8	susu	0	471
2404	breast	KALINGA GUINAANG	susu	s u s u	3 7 3 7	AXBZ	SYSY	70	70.S.C 70.Y.V 70.S.C 70.Y.V	2.0 1.5 1.75 0.8	susu	0	471
2444	breast	KALINGA LIMOS	susu	s u s u	3 7 3 7	AXBZ	SYSY	71	71.S.C 71.Y.V 71.S.C 71.Y.V	2.0 1.5 1.75 0.8	susu	0	471
2484	breast	KALLAHAN KAYAPA PROPER	huhu	h u h u	3 7 3 7	AXBZ	HYHY	72	72.H.C 72.Y.V 72.H.C 72.Y.V	2.0 1.5 1.75 0.8	huhu	0	471
2524	breast	KALLAHAN KELEYQIQ IFUGAO	huhuʔ	h u h u ʔ	3 7 3 7 1	AXBYN	HYHYH	73	73.H.C 73.Y.V 73.H.C 73.Y.V 73.H.c	2.0 1.5 1.75 1.3 0.8	huhuʔ	0	471
2564	breast	KANKANAY NORTHERN	soso	s o s o	3 7 3 7	AXBZ	SUSU	75	75.S.C 75.U.V 75.S.C 75.U.V	2.0 1.5 1.75 0.8	soso	0	471
2604	breast	KAPAMPANGAN	susu	s u s u	3 7 3 7	AXBZ	SYSY	76	76.S.C 76.Y.V 76.S.C 76.Y.V	2.0 1.5 1.75 0.8	susu	0	471
2684	breast	KOREAN	kasum	k a s u m	1 7 3 7 4	AXBYN	KASYM	78	78.K.C 78.A.V 78.S.C 78.Y.V 78.M.c	2.0 1.5 1.75 1.3 0.8	kasum	0	504
2724	breast	LEGAZPI	susu	s u s u	3 7 3 7	AXBZ	SYSY	79	79.S.C 79.Y.V 79.S.C 79.Y.V	2.0 1.5 1.75 0.8	susu	0	471
2764	breast	LIBON	susu	s u s u	3 7 3 7	AXBZ	SYSY	80	80.S.C 80.Y.V 80.S.C 80.Y.V	2.0 1.5 1.75 0.8	susu	0	471
2804	breast	LIVE	rinda	r i n d a	5 7 4 1 7	AXMBZ	RINTA	82	82.R.C 82.I.V 82.N.c 82.T.C 82.A.V	2.0 1.5 1.1 1.75 0.8	rinda	0	465
2844	breast	MAGUINDANAO	susu	s u s u	3 7 3 7	AXBZ	SYSY	83	83.S.C 83.Y.V 83.S.C 83.Y.V	2.0 1.5 1.75 0.8	susu	0	471
2884	breast	MAMANWA	soso	s o s o	3 7 3 7	AXBZ	SUSU	84	84.S.C 84.U.V 84.S.C 84.U.V	2.0 1.5 1.75 0.8	soso	0	471
2924	breast	MANOBO ATA	susu	s u s u	3 7 3 7	AXBZ	SYSY	88	88.S.C 88.Y.V 88.S.C 88.Y.V	2.0 1.5 1.75 0.8	susu	0	471
2964	breast	MANOBO DIBABAWON	duduʔ	d u d u ʔ	1 7 1 7 1	AXBYN	TYTYH	89	89.T.C 89.Y.V 89.T.C 89.Y.V 89.H.c	2.0 1.5 1.75 1.3 0.8	duduʔ	0	437
3004	breast	MANOBO ILIANEN	susu	s u s u	3 7 3 7	AXBZ	SYSY	90	90.S.C 90.Y.V 90.S.C 90.Y.V	2.0 1.5 1.75 0.8	susu	0	471
