ID,CONCEPT,DOCULECT,FORM,TOKENS,SONARS,PROSTRINGS,CLASSES,LANGID,NUMBERS,WEIGHTS,IPA,DUPLICATES,COGID
9845,I,TIMUGON MURUT,aku,a k u,7 1 7,XBZ,AKY,121.0,121.A.V 121.K.C 121.Y.V,1.5 1.75 0.8,aku,0.0,66.0
9937,I,TIRURAY,begen,b e g e n,1 7 1 7 4,AXBYN,PEKEN,122.0,122.P.C 122.E.V 122.K.C 122.E.V 122.N.c,2.0 1.5 1.75 1.3 0.8,begen,0.0,66.0
10029,I,TURKISH,ben,b e n,1 7 4,AXN,PEN,123.0,123.P.C 123.E.V 123.N.c,2.0 1.5 0.8,ben,0.0,3.0
10121,I,UGARITIC,an,a n,7 4,XN,AN,124.0,124.A.V 124.N.c,1.5 0.8,an,0.0,3.0
10213,I,UMIRAY DUMAGET AGTA,ako,a k o,7 1 7,XBZ,AKU,125.0,125.A.V 125.K.C 125.U.V,1.5 1.75 0.8,ako,0.0,66.0
10305,I,WARAY WARAY,ako,a k o,7 1 7,XBZ,AKU,126.0,126.A.V 126.K.C 126.U.V,1.5 1.75 0.8,ako,0.0,66.0
10397,I,YAKAN,aku,a k u,7 1 7,XBZ,AKY,127.0,127.A.V 127.K.C 127.Y.V,1.5 1.75 0.8,aku,0.0,66.0
10489,I,YOGAD,ku,k u,1 7,AX,KY,128.0,128.K.C 128.Y.V,2.0 1.5,ku,0.0,66.0
10581,I,ZAMBOANGUENO,jo,j o,6 7,AX,JU,129.0,129.J.C 129.U.V,2.0 1.5,jo,0.0,77.0
738,all,BASQUE,guztiz,g u z t i z,1 7 3 1 7 3,AXMBYN,KYSTIS,10.0,10.K.C 10.Y.V 10.S.c 10.T.C 10.I.V 10.S.c,2.0 1.5 1.1 1.75 1.3 0.8,guztiz,0.0,78.0
1382,all,BUKIDNON BINUKID,alan,a l a n,7 5 7 4,XBYN,ALAN,18.0,18.A.V 18.L.C 18.A.V 18.N.c,1.5 1.75 1.3 0.8,alan,0.0,79.0
2210,all,ENGLISH,ol,o l,7 5,XN,UL,28.0,28.U.V 28.L.c,1.5 0.8,ol,0.0,80.0
2394,all,ESTONIAN,koik,k o i k,1 7 7 1,AXYN,KUIK,30.0,30.K.C 30.U.V 30.I.V 30.K.c,2.0 1.5 1.3 0.8,koik,0.0,81.0
2486,all,FINNISH,kaikki,k a i kk i,1 7 7 1 7,AXYBZ,KAIKI,32.0,32.K.C 32.A.V 32.I.V 32.K.C 32.I.V,2.0 1.5 1.3 1.75 0.8,kaikki,0.0,81.0
2762,all,HANUNOO,tanan,t a n a n,1 7 4 7 4,AXBYN,TANAN,35.0,35.T.C 35.A.V 35.N.C 35.A.V 35.N.c,2.0 1.5 1.75 1.3 0.8,tanan,0.0,79.0
2854,all,HIGAONON BINUKID,alan,a l a n,7 5 7 4,XBYN,ALAN,36.0,36.A.V 36.L.C 36.A.V 36.N.c,1.5 1.75 1.3 0.8,alan,0.0,79.0
