"population","model_region","island_group","region","province","precision_tier","latitude","longitude","model","balangao_admx","aytamagbukon_admx","span_admx","eastasian_admx","atamanobo_admx","balangao_se","aytamagbukon_se","span_se","eastasian_se","atamanobo_se","malder_span_se","malder_eastasian_se","malder_joint_ceu_eas_se","effblocks","qpadm_pval","malder_span","malder_eastasian","malder_joint_ceu_eas","malder_span_years","malder_eastasian_years","malder_joint_ceu_eas_years","malder_span_se_years","malder_eastasian_se_years","malder_joint_ceu_eas_se_years","span_se_capped","span_w","span_w_capped","nearest_node","geodist_H1_span","geodist_H2_span","using_network"
"Maguindanaon","mindanao_sulu","Mindanao","BARMM","Maguindanao","B",6.95,124.43,"5-source",0.325,0,0.016,0.046,0.692,8.081,9.23,1.207,0.44,16.317,NA,NA,NA,499.602,0.0753299067,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.701800000000001,2.03036104448594,TRUE,"27",775.77040845268,2196.22005860899,TRUE
"Mandaya","mindanao_sulu","Mindanao","Davao","Davao Oriental","B",7.65,126.5,"5-source",0.404,0,0.002,0,0.702,0.346,0.378,0.051,0.047,0.687,NA,NA,7.82,499.601,0.624946905,NA,NA,35.98,NA,NA,1079.4,NA,NA,234.6,0.051,384.467512495194,FALSE,"37",908.596227187887,2163.00930617833,TRUE
"Mansaka","mindanao_sulu","Mindanao","Davao","Davao del Norte","A",7.4478,125.8078,"5-source",0.527,0,0,0,0.666,0.671,0.778,0.095,0.094,1.408,NA,NA,NA,499.597,0.546835861,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.095,110.803324099723,FALSE,"37",847.834800683908,2102.24787967435,TRUE
"Kamayo","mindanao_sulu","Mindanao","Caraga","Surigao del Sur","B",8.2117,126.3181,"5-source",0.462,0,0,0.025,0.579,0.632,0.72,0.096,0.056,1.25,15.7,NA,4.83,499.606,0.38638395,36.4,NA,10.14,1092,NA,304.2,471,NA,144.9,0.096,108.506944444444,FALSE,"37",627.109306881936,1881.52238587238,TRUE
"Tagakaolo","mindanao_sulu","Mindanao","Davao","Davao Occidental","B",6.4167,125.6167,"5-source",0.034,0,0.009,0,1.352,0.677,0.744,0.096,0.072,1.311,NA,NA,7.95,499.602,0.20124972,NA,NA,28.22,NA,NA,846.6,NA,NA,238.5,0.096,108.506944444444,FALSE,"37",1087.64976188075,2342.0628408712,TRUE
"Kalagan","mindanao_sulu","Mindanao","Davao","Davao del Sur","A",6.6333,125.35,"5-source",0.034,0,0.024,0,1.41,1.929,2.11,0.25,0.116,3.78,NA,NA,NA,499.599,0.105152703,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,16,FALSE,"37",1173.46503175709,2427.87811074754,TRUE
"Kagayanen","non_mindanao","Cagayancillo","Mimaropa","Palawan","A",9.5817,121.2072,"4-source",0.729,0.292,0,0.026,NA,0.042,0.021,0.013,0.043,NA,NA,NA,7.19,499.591,0.00618081513,NA,NA,15.41,NA,NA,462.3,NA,NA,215.7,0.013,5917.15976331361,FALSE,"25",22.3745481842704,1311.5307776844,FALSE
"Cinamiguin","mindanao_sulu","Camiguin","Northern Mindanao","Camiguin","B",9.1039,124.7486,"5-source",0.343,0,0.02,0.04,0.732,1.042,1.23,0.145,0.102,2.202,NA,NA,NA,499.591,0.449630117,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.145,47.5624256837099,FALSE,"37",63.589009590478,1318.00208858092,TRUE
"BukidnonTalaandig","mindanao_sulu","Mindanao","Northern Mindanao","Bukidnon","B",8.0167,125.0333,"5-source",0.37,0.077,0,0.03,0.547,0.492,0.567,0.083,0.05,0.992,NA,NA,NA,499.598,0.738709918,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.083,145.158949049209,FALSE,"37",458.996005218918,1713.40908420936,TRUE
"BukidnonBinukid","mindanao_sulu","Mindanao","Northern Mindanao","Bukidnon","A",8.1575,125.1278,"5-source",0.263,0.031,0,0.028,0.71,4.57,5.279,0.574,0.285,9.003,22.23,NA,NA,499.597,0.490584144,44.29,NA,NA,1328.7,NA,NA,666.9,NA,NA,0.574,3.0351224368391,FALSE,"37",396.060206640743,1650.47328563119,TRUE
