population,PC1,PC2,longitude,latitude,subgroup,colour,rotPC1,rotPC2,rotLongitude,rotLatitude
ManoboSarangani,0.0060361475,-0.0051717475,125.2,5.8167,Manobo,#F16DEF,0.016588458967835642,-0.023220365991761076,123.5631000550254,10.305711785194077
ManoboTagabawa,0.006015845,-0.005662714,125.3,6.83,Manobo,#F16DEF,0.018137487728132087,-0.023280890112116242,123.6433175417111,10.302577503285828
Mansaka,0.010634641,-0.011360671,125.8078,7.4478,Central Philippine,#565153,0.034885207814530694,-0.03924844037113148,124.51060938772525,9.47568727171861
Meranao,0.009845163,-0.00973792,124.2833,8,Danaw,#C573F1,0.029982312475921896,-0.03635479948715288,124.25670968513292,9.625536393331647
Molbog,0.00413755,-0.0018816036666666667,117.0639,7.9861,Palawanic-Kalamian,#87B1F1,0.006723256854597854,-0.016416636085575233,123.05222398903231,10.658047472659376
Obo,0.0042727266666666664,-0.003257736933333333,124.7069,6.22,Manobo,#F16DEF,0.011016383270156502,-0.017190299866904565,123.27454640157048,10.617982778143235
OvuManuvo,0.001989853075,-0.001084831875,125.3333,7.3333,Manobo,#F16DEF,0.004761774754226149,-0.00946118961950788,122.95064733125567,11.018239903288027
Palawano,0.0034007533333333334,-0.0019066311111111112,117.8333,8.7833,Palawanic-Kalamian,#87B1F1,0.006988596247913305,-0.014106056015316485,123.06596476634778,10.777702401459248
Pangasinan,0.008509918,-0.007169048,120.2317,16.0214,Meso-Cordilleran,#EA7B81,0.022242507787533415,-0.031505285294569405,123.85589874123417,9.876671717701758
SamaBangingi,0.005164884444444445,-0.0017310279222222222,121.78,6.07,Greater Barito linkage,#A74B82,0.005989523830592776,-0.019609034185422012,123.01422713539563,10.492727009519037
SamaDeyaBonggao,0.0057656725,-0.00290913275,119.7731,5.0292,Greater Barito linkage,#A74B82,0.009541988637991775,-0.021796689864654238,123.19819389294919,10.379437802230125
SamaDilautBonggao,0.00444071625,9.334386250000001e-4,119.7731,5.0292,Greater Barito linkage,#A74B82,-0.0022056783244929694,-0.01665688786540547,122.58983313018916,10.645605874127622
SamaDilautMampang,0.004609176666666667,5.847617555555556e-4,122.1,6.92,Greater Barito linkage,#A74B82,-0.0011519070734268657,-0.01727494954990793,122.64440337670027,10.613599137895024
SamaDilautTaluksangay,0.004944385,-7.771624000000002e-5,122.15,6.9667,Greater Barito linkage,#A74B82,8.463994818516926e-4,-0.018496853418702563,122.74788701341554,10.550322031724651
