population	region	model	balangao_admx	aytamagbukon_admx	span_admx	eastasian_admx	atamanobo_admx	balangao_se	aytamagbukon_se	span_se	eastasian_se	atamanobo_se	effblocks	qpadm_pval	malder_span	malder_eastasian	malder_joint_ceu_eas	malder_span_se	malder_eastasian_se	malder_joint_ceu_eas_se	malder_span_years	malder_eastasian_years	malder_joint_ceu_eas_years	malder_span_se_years	malder_eastasian_se_years	malder_joint_ceu_eas_se_years
Subanon	mindanao_sulu	5-source	0.328	-0.109	0.015	0.068	0.699	5.032	5.662	0.76	0.386	10.083	499.594	0.42437164	NA	NA	23.77	NA	NA	6.79	NA	NA	713.1	NA	NA	203.7
Sulodnon	non_mindanao	4-source	0.755	0.196	-0.027	0.076	NA	0.039	0.019	0.013	0.04	NA	499.599	0.221859894	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Surigaonon	mindanao_sulu	5-source	0.488	-0.013	-0.004	0.052	0.477	10.504	10.101	1.139	1.567	18.253	499.593	0.351051405	NA	NA	15.73	NA	NA	6.36	NA	NA	471.90000000000003	NA	NA	190.8
Tagakaolo	mindanao_sulu	5-source	0.034	-0.392	0.009	-0.003	1.352	0.677	0.744	0.096	0.072	1.311	499.602	0.20124972	NA	NA	28.22	NA	NA	7.95	NA	NA	846.5999999999999	NA	NA	238.5
Tagalog	non_mindanao	4-source	0.647	0.141	0.009	0.203	NA	0.036	0.016	0.01	0.037	NA	499.598	0.398789196	NA	NA	11.48	NA	NA	5.75	NA	NA	344.40000000000003	NA	NA	172.5
Tagbanwa	non_mindanao	4-source	0.652	0.343	-0.028	0.033	NA	0.048	0.021	0.014	0.048	NA	499.591	3.86139419e-4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Tausug	mindanao_sulu	5-source	0.187	-0.147	0.032	0.105	0.822	1.68	1.887	0.243	0.073	3.319	499.61	0.217034673	NA	NA	23.91	NA	NA	6.85	NA	NA	717.3	NA	NA	205.5
Tboli	mindanao_sulu	5-source	0.006	-0.187	-0.03	0.019	1.192	0.203	0.224	0.034	0.052	0.391	499.597	0.678075823	NA	NA	51.73	NA	NA	15.35	NA	NA	1551.8999999999999	NA	NA	460.5
Teduray	mindanao_sulu	5-source	0.162	0.031	-0.031	0.065	0.773	7.404	7.117	0.739	0.491	13.294	499.6	0.961116803	NA	NA	80.62	NA	NA	26.68	NA	NA	2418.6000000000004	NA	NA	800.4
TuwaliIfugao	non_mindanao	4-source	0.971	-0.042	0.02	0.051	NA	0.032	0.017	0.011	0.032	NA	499.591	0.239701588	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Waray	non_mindanao	4-source	0.786	0.217	-0.027	0.024	NA	0.038	0.02	0.013	0.038	NA	499.577	0.0682584966	NA	35.03	13.6	NA	10.44	4.13	NA	1050.9	408	NA	313.2	123.89999999999999
Yakan	mindanao_sulu	5-source	-0.042	-0.376	0.045	0.134	1.238	4.597	5.08	0.716	0.327	8.732	499.6	0.0273774806	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Yogad	non_mindanao	4-source	0.878	0.056	0.016	0.05	NA	0.041	0.019	0.013	0.041	NA	499.601	0.81937786	3.59	NA	5.22	0.99	NA	1.15	107.69999999999999	NA	156.6	29.7	NA	34.5
