glottocode,language,subgroup,cog_PC1,cog_PC2,colour,gen_PC1,gen_PC2,populations,n_populations,gen_rot1,gen_rot2,cog_std1,cog_std2,residual
cama1250,Manide; Manide (Labo),Central Philippine,-0.3954720961715373,-0.32965905754558966,#565153,0.08917968888888889,-0.00751311777777777,AgtaManide,1,0.122237623948764,-0.23161928279130525,-4.6927684568983855e-4,0.00813959565087972,0.2693349277283479
casi1235,"Dumagat, Casiguran",Northeastern Luzon,1.773516690461632,-0.3580071177077095,#95A459,0.07451958095238095,-0.01149889214285714,AgtaCasiguran; AgtaMaddela,2,0.11348183221842906,-0.1853073210052706,0.06503505623870591,0.007283472840748272,0.19859079529794227
cebu1242,Cebuano,Central Philippine,-5.599760840963066,3.8845923147770143,#565153,-0.010453272,0.00527564,Cebuano,1,-0.04854101611466849,0.029056632325192486,-0.1576408885695874,0.1354116808249554,0.15236199825109442
cent2084,Agta,Cagayan Valley,2.741163668895488,0.0336492515107584,#79F287,0.03661536666666667,-0.01023604333333333,AgtaLabin,1,0.05856345818985055,-0.08125153631402927,0.09425838388985087,0.019111652599913872,0.10652181659033225
cent2087,Bikol (Bisakol); Bikol (Naga City); Naga Bikol,Central Philippine,-4.607047437772522,4.48960273630155,#565153,-0.005630823,0.0067017216,Bicolano,1,-0.045981577646037386,0.013666418008691377,-0.1276605448164617,0.15368323871188716,0.1620992404604603
cent2292,"Bontok, Eastern",Meso-Cordilleran,5.5279651730437775,1.5820867931715143,#EA7B81,-0.03913846,-0.04663411,Bontoc,1,0.05741378972912799,0.1794845997586604,0.17842090934540455,0.06587508868331274,0.1659814568095105
cota1241,"Manobo, Kalamansig Cotabato (Paril Dialect)",Manobo,-0.915742701897217,-5.328450050861731,#F16DEF,0.0025464028,0.01722595,ManoboDulangan,1,-0.06426088961984733,-0.023421203459685423,-0.016181658238115654,-0.1428259013878271,0.12872099431549172
cuyo1237,Cuyonon,Central Philippine,-4.16399415570393,2.758768333383345,#565153,-0.00347509,0.0035268379,Cuyonon,1,-0.03419939884507624,0.011955891882239176,-0.11428015763253105,0.10141134411224935,0.1200633410398451
diba1242,"Manobo, Dibabawon",Manobo,-3.6050450117888113,-3.2444721047776044,#F16DEF,-0.00754853857142857,0.009931370555555555,Dibabaon; Manguangan,2,-0.0575938446286389,0.014638522760276803,-0.09739966884167493,-0.07988892985431922,0.10256677307531822
dupa1235,Dupaningan Agta,Northeastern Luzon,2.0268090107400445,0.09716113621174176,#95A459,0.054495300000000003,-0.007767896,AgtaDupaningan,1,0.07591982060108576,-0.13449035503836218,0.07268458611063819,0.021029737043646204,0.15555373921383103
gadd1244,Gaddang,Cagayan Valley,3.2303993793010743,0.2573589639751894,#79F287,-0.018910725,-0.010633525,Gaddang,1,-0.015615514627179536,0.07422766368055062,0.10903349897052116,0.02586777582645725,0.13370136627626608
gian1241,Guiangan (Baguio); Guiangan (Sirib),Bilic,0.14924879467473354,-2.450360047176196,#BA7862,-0.009857427,0.008318565,BagoboKlata,1,-0.05622409830127226,0.023268066455614963,0.015981512984076837,-0.05590642655691743,0.10715526419585028
hanu1241,Hanunoo; Hanunóo,South Mangyan,-1.8893563600403156,1.1703462043432025,#85DEF2,-0.00488429555555555,-0.04260225555555555,MangyanHanunuo,1,0.09260867933277935,0.0784348155266434,-0.04558518201451989,0.05344035741997568,0.14043598630736542
hili1240,Hiligaynon; Ilonggo,Central Philippine,-5.847103083528912,4.658424094664141,#565153,-0.012545316,0.0019036602,Hilgaynon,1,-0.04196844171561036,0.03946636558525291,-0.16511072370323246,0.15878171158463492,0.17146478765061732
ibal1244,Ibaloi; Inibaloi,Meso-Cordilleran,6.122190080403518,1.6375766280468018,#EA7B81,-0.03663523,-0.04015084,Ibaloi,1,0.04271698651760847,0.16370887720300747,0.1963667403698043,0.06755090399820478,0.18125838648100098
iban1267,Ibanag,Cagayan Valley,3.209510902462116,1.2802714405181912,#79F287,-0.01919345666666666,-0.00852120888888888,Ibanag,1,-0.021893088168854415,0.07215249932131011,0.10840265857479522,0.05676014373199462,0.1312017767794065
ilia1236,"Manobo, Ilianen (Kibudtungan Dialect)",Manobo,-1.5544457805276832,-6.34358911681078,#F16DEF,0.002548522,0.0206598,ManoboIlianen,1,-0.07383984646462642,-0.02808309139903366,-0.035470747910903766,-0.17348350916925226,0.15037775504235784
ilok1237,Ilokano,Northern Luzon,3.965019508015617,1.6040519264980542,#7E6E40,-0.0180918,-0.008086637,Ilocano,1,-0.02161197767182457,0.06848919345625507,0.1312193221054185,0.06653844453767759,0.1528437490149495
ilon1239,"Ilongot, Kakiduge:n; Kakiduge:n Ilongot",Meso-Cordilleran,3.266419163499828,-0.2860754888627688,#EA7B81,-0.01097782923076923,-0.02436243076923077,Bugkalot,1,0.03344993829574029,0.07070676861833149,0.11012131092986543,0.009455836941567855,0.098133460210432
iray1237,Iraya,North Mangyan,-1.1332274600576435,-1.0310727459687064,#ECBEBD,0.009474139,-0.02979746,MangyanIraya,1,0.07634679473914577,0.02100688922040251,-0.02274978534283601,-0.013043379641372442,0.10478336219793573
isna1241,"Isneg, Dibagat-Kabugao-Isneg",Cagayan Valley,3.5844353293538376,0.13834690643864572,#79F287,-0.02106708888888888,-0.01995786666666666,Apayao,1,0.007479345078630299,0.0928877128861984,0.11972552695103689,0.02227356385727776,0.13261057042337157
itaw1240,Itawis; Malaweg,Cagayan Valley,3.900389362302094,1.4812381838864837,#79F287,-0.02109362,-0.00684454699999999,Itawis,1,-0.029148093980726073,0.07518132921724972,0.12926746572967246,0.06282942015131494,0.15889637886349695
