"gloss","wordform","feature","loading"
"to.come","umali","to.come::umali",0.0140903210639249
"intestines","sinay","intestines::sinay",0.0140865855169604
"rope","kalát","rope::kalát",0.0140724792605522
"to.choose","pili","to.choose::pili",0.0140328635666852
"head","ʔu:lu","head::ʔu:lu",0.0140273990146178
"Four","ʔɨ'pat","Four::ʔɨ'pat",0.0140248164923196
"to.eat","makaon","to.eat::makaon",0.014005891107009
"correct..true","tama","correct..true::tama",0.0139735534224442
"ear","taliŋa","ear::taliŋa",0.0139527063589373
"to.swim","aglangóy","to.swim::aglangóy",0.0139412667586613
"to.walk","manálan","to.walk::manálan",0.013927915777227
"tooth","ngipin","tooth::ngipin",-0.0139242740043362
"ear","'ʔinga","ear::'ʔinga",0.013874122874101
"to.come","omali","to.come::omali",0.0138681024351031
"to.kill","patáy","to.kill::patáy",0.0138569986145349
"skin","kulit","skin::kulit",-0.013837907713523
"to.lie.down","umbog","to.lie.down::umbog",0.0138342652463539
"to.say","kagi","to.say::kagi",-0.0138144142607482
"dog","tito","dog::tito",0.0138127403141772
"husband","ʔa'sawa","husband::ʔa'sawa",0.0137553010380786
"rat","otot","rat::otot",0.0137547300596511
"hand","íma","hand::íma",0.0137468493415282
"leg.foot","siki","leg.foot::siki",0.013710505285779
"stick.wood","kahoy","stick.wood::kahoy",0.0137067679157843
"where.","ano","where.::ano",-0.0136767275427417
"dust","tapok","dust::tapok",0.0135693233003107
"painful..sick","ma-sakít","painful..sick::ma-sakít",-0.0135094828099246
"to.cry","tangís","to.cry::tangís",0.013507675520038
"dog","áyam","dog::áyam",0.0134932255530765
