fid,iid,father,mother,sex,phenotype,population,matched,latitude,longitude
Balangao,Blg-04,0,0,0,-9,Balangao,True,17.2333,121.2167
Balangao,Blg-05,0,0,0,-9,Balangao,True,17.2333,121.2167
Balangao,Blg-07,0,0,0,-9,Balangao,True,17.2333,121.2167
Balangao,Blg-09,0,0,0,-9,Balangao,True,17.2333,121.2167
Balangao,Blg-10,0,0,0,-9,Balangao,True,17.2333,121.2167
Balangao,Blg-11,0,0,0,-9,Balangao,True,17.2333,121.2167
Balangao,Blg-12,0,0,0,-9,Balangao,True,17.2333,121.2167
Balangao,Blg-14,0,0,0,-9,Balangao,True,17.2333,121.2167
Balangao,Blg-15,0,0,0,-9,Balangao,True,17.2333,121.2167
Batak,Batak-01,0,0,0,-9,Batak,True,10.3,119.05
Batak,Batak-03,0,0,0,-9,Batak,True,10.3,119.05
Batak,Batak-04,0,0,0,-9,Batak,True,10.3,119.05
Bicolano,BK-01,0,0,0,-9,Bicolano,True,13.6218,123.1948
Bicolano,BK-02,0,0,0,-9,Bicolano,True,13.6218,123.1948
Bicolano,BK-04,0,0,0,-9,Bicolano,True,13.6218,123.1948
Bicolano,BK-05,0,0,0,-9,Bicolano,True,13.6218,123.1948
Bicolano,BK-06,0,0,0,-9,Bicolano,True,13.6218,123.1948
Bicolano,BK-08,0,0,0,-9,Bicolano,True,13.6218,123.1948
Bicolano,BK-11,0,0,0,-9,Bicolano,True,13.6218,123.1948
Bicolano,BK-14,0,0,0,-9,Bicolano,True,13.6218,123.1948
Bicolano,BK-16,0,0,0,-9,Bicolano,True,13.6218,123.1948
Bicolano,BK-17,0,0,0,-9,Bicolano,True,13.6218,123.1948
BinukidnonNegros,SLN-05,0,0,0,-9,BinukidnonNegros,True,9.9892,122.8147
BinukidnonNegros,SLN-06,0,0,0,-9,BinukidnonNegros,True,9.9892,122.8147
BinukidnonNegros,SLN-08,0,0,0,-9,BinukidnonNegros,True,9.9892,122.8147
BinukidnonNegros,SLN-11,0,0,0,-9,BinukidnonNegros,True,9.9892,122.8147
BinukidnonNegros,SLN-15,0,0,0,-9,BinukidnonNegros,True,9.9892,122.8147
BinukidnonNegros,SLN-18,0,0,0,-9,BinukidnonNegros,True,9.9892,122.8147
BinukidnonNegros,SLN-22,0,0,0,-9,BinukidnonNegros,True,9.9892,122.8147
BinukidnonNegros,SLN-24,0,0,0,-9,BinukidnonNegros,True,9.9892,122.8147
BlaanKoronadal,BL-07,0,0,0,-9,BlaanKoronadal,True,6.5031,124.8469
BlaanKoronadal,BL-09,0,0,0,-9,BlaanKoronadal,True,6.5031,124.8469
BlaanKoronadal,BL-10,0,0,0,-9,BlaanKoronadal,True,6.5031,124.8469
BlaanKoronadal,BL-11,0,0,0,-9,BlaanKoronadal,True,6.5031,124.8469
BlaanKoronadal,BL-16,0,0,0,-9,BlaanKoronadal,True,6.5031,124.8469
BlaanKoronadal,BL-17,0,0,0,-9,BlaanKoronadal,True,6.5031,124.8469
BlaanKoronadal,BL-19,0,0,0,-9,BlaanKoronadal,True,6.5031,124.8469
BlaanKoronadal,BL-22,0,0,0,-9,BlaanKoronadal,True,6.5031,124.8469
BlaanSarangani,BL-01,0,0,0,-9,BlaanSarangani,True,6.2861,125.2836
BlaanSarangani,BL-02,0,0,0,-9,BlaanSarangani,True,6.2861,125.2836
BlaanSarangani,BL-04,0,0,0,-9,BlaanSarangani,True,6.2861,125.2836
BlaanSarangani,BL-05,0,0,0,-9,BlaanSarangani,True,6.2861,125.2836
BlaanSarangani,BL-06,0,0,0,-9,BlaanSarangani,True,6.2861,125.2836
Boholano,Cb-01,0,0,0,-9,Boholano,True,9.65,123.85
Boholano,Cb-02,0,0,0,-9,Boholano,True,9.65,123.85
Boholano,Cb-03,0,0,0,-9,Boholano,True,9.65,123.85
Boholano,Cb-04,0,0,0,-9,Boholano,True,9.65,123.85
Boholano,Cb-16,0,0,0,-9,Boholano,True,9.65,123.85
Bolinao,BOL-02,0,0,0,-9,Bolinao,True,16.3833,119.8833
Bolinao,BOL-03,0,0,0,-9,Bolinao,True,16.3833,119.8833
Bolinao,BOL-04,0,0,0,-9,Bolinao,True,16.3833,119.8833
Bolinao,BOL-05,0,0,0,-9,Bolinao,True,16.3833,119.8833
Bolinao,Bol-06,0,0,0,-9,Bolinao,True,16.3833,119.8833
Bolinao,BOL-07,0,0,0,-9,Bolinao,True,16.3833,119.8833
Bontoc,BNT-02,0,0,0,-9,Bontoc,True,17.0897,120.9764
Bontoc,BNT-03,0,0,0,-9,Bontoc,True,17.0897,120.9764
Bontoc,BNT-06,0,0,0,-9,Bontoc,True,17.0897,120.9764
Bontoc,BNT-07,0,0,0,-9,Bontoc,True,17.0897,120.9764
Bontoc,BNT-08,0,0,0,-9,Bontoc,True,17.0897,120.9764
